company_name,normalized_company_name,industry_name,normalized_industry_name,sub_industry,country,source,confidence_score,verified
Wesfarmers Limited,wesfarmers limited,Retail,retail,Conglomerate,Australia,Verified Real Company Database,100,True
Coles Group Limited,coles group limited,Retail,retail,Supermarket Chain,Australia,Verified Real Company Database,100,True
Telstra Corporation Limited,telstra corporation limited,Telecommunications,telecommunications,Telecom Services,Australia,Verified Real Company Database,100,True
CSL Limited,csl limited,Healthcare,healthcare,Biopharmaceuticals,Australia,Verified Real Company Database,100,True
Santos Limited,santos limited,Energy,energy,Oil & Gas,Australia,Verified Real Company Database,100,True
Woodside Energy Group,woodside energy group,Energy,energy,Oil & Gas,Australia,Verified Real Company Database,100,True
Goodman Group,goodman group,Real Estate,real estate,Industrial Property,Australia,Verified Real Company Database,100,True
Qantas Airways Limited,qantas airways limited,Aviation,aviation,Airlines,Australia,Verified Real Company Database,100,True
Transurban Group,transurban group,Infrastructure,infrastructure,Toll Roads,Australia,Verified Real Company Database,100,True
Brambles Limited,brambles limited,Transportation,transportation,Logistics,Australia,Verified Real Company Database,100,True
Amcor plc,amcor plc,Manufacturing,manufacturing,Packaging,Australia,Verified Real Company Database,100,True
Cochlear Limited,cochlear limited,Healthcare,healthcare,Medical Devices,Australia,Verified Real Company Database,100,True
ResMed Inc.,resmed inc,Healthcare,healthcare,Medical Devices,Australia,Verified Real Company Database,100,True
QBE Insurance Group,qbe insurance group,Financial Services,financial services,Insurance,Australia,Verified Real Company Database,100,True
Insurance Australia Group,insurance australia group,Financial Services,financial services,Insurance,Australia,Verified Real Company Database,100,True
Scentre Group,scentre group,Real Estate,real estate,Shopping Centers,Australia,Verified Real Company Database,100,True
Stockland Corporation,stockland corporation,Real Estate,real estate,Property Development,Australia,Verified Real Company Database,100,True
Origin Energy Limited,origin energy limited,Energy,energy,Energy Retail,Australia,Verified Real Company Database,100,True
AGL Energy Limited,agl energy limited,Energy,energy,Energy Retail,Australia,Verified Real Company Database,100,True
Tabcorp Holdings Limited,tabcorp holdings limited,Entertainment,entertainment,Gaming & Betting,Australia,Verified Real Company Database,100,True
Samsung Electronics Co. Ltd.,samsung electronics co ltd,Technology,technology,Consumer Electronics,South Korea,Verified Real Company Database,100,True
SK Hynix Inc.,sk hynix inc,Technology,technology,Semiconductors,South Korea,Verified Real Company Database,100,True
LG Electronics Inc.,lg electronics inc,Technology,technology,Consumer Electronics,South Korea,Verified Real Company Database,100,True
Samsung Display Co. Ltd.,samsung display co ltd,Technology,technology,Display Technology,South Korea,Verified Real Company Database,100,True
Naver Corporation,naver corporation,Technology,technology,Internet Services,South Korea,Verified Real Company Database,100,True
Kakao Corporation,kakao corporation,Technology,technology,Internet Services,South Korea,Verified Real Company Database,100,True
Hyundai Motor Company,hyundai motor company,Automotive,automotive,Automobile Manufacturing,South Korea,Verified Real Company Database,100,True
Kia Corporation,kia corporation,Automotive,automotive,Automobile Manufacturing,South Korea,Verified Real Company Database,100,True
SK Group,sk group,Conglomerate,conglomerate,Diversified,South Korea,Verified Real Company Database,100,True
LG Corporation,lg corporation,Conglomerate,conglomerate,Diversified,South Korea,Verified Real Company Database,100,True
Lotte Corporation,lotte corporation,Conglomerate,conglomerate,Retail & Food,South Korea,Verified Real Company Database,100,True
Hyundai Heavy Industries,hyundai heavy industries,Manufacturing,manufacturing,Shipbuilding,South Korea,Verified Real Company Database,100,True
Samsung Heavy Industries,samsung heavy industries,Manufacturing,manufacturing,Shipbuilding,South Korea,Verified Real Company Database,100,True
POSCO,posco,Manufacturing,manufacturing,Steel Production,South Korea,Verified Real Company Database,100,True
Samsung Biologics,samsung biologics,Healthcare,healthcare,Biopharmaceuticals,South Korea,Verified Real Company Database,100,True
Celltrion Inc.,celltrion inc,Healthcare,healthcare,Biopharmaceuticals,South Korea,Verified Real Company Database,100,True
HYBE Corporation,hybe corporation,Media,media,Entertainment,South Korea,Verified Real Company Database,100,True
SM Entertainment,sm entertainment,Media,media,Entertainment,South Korea,Verified Real Company Database,100,True
JYP Entertainment,jyp entertainment,Media,media,Entertainment,South Korea,Verified Real Company Database,100,True
YG Entertainment,yg entertainment,Media,media,Entertainment,South Korea,Verified Real Company Database,100,True
CJ ENM,cj enm,Media,media,Entertainment,South Korea,Verified Real Company Database,100,True
LG Chem,lg chem,Chemicals,chemicals,Chemical Manufacturing,South Korea,Verified Real Company Database,100,True
SK Innovation,sk innovation,Energy,energy,Oil Refining,South Korea,Verified Real Company Database,100,True
Hanwha Group,hanwha group,Conglomerate,conglomerate,Diversified,South Korea,Verified Real Company Database,100,True
Hyundai Engineering & Construction,hyundai engineering construction,Infrastructure,infrastructure,Construction,South Korea,Verified Real Company Database,100,True
Korean Air Lines,korean air lines,Aviation,aviation,Airlines,South Korea,Verified Real Company Database,100,True
Asiana Airlines,asiana airlines,Aviation,aviation,Airlines,South Korea,Verified Real Company Database,100,True
SK Telecom,sk telecom,Telecommunications,telecommunications,Telecom Services,South Korea,Verified Real Company Database,100,True
KT Corporation,kt corporation,Telecommunications,telecommunications,Telecom Services,South Korea,Verified Real Company Database,100,True
LG Uplus,lg uplus,Telecommunications,telecommunications,Telecom Services,South Korea,Verified Real Company Database,100,True
Shinhan Financial Group,shinhan financial group,Banking,banking,Commercial Banking,South Korea,Verified Real Company Database,100,True
KB Financial Group,kb financial group,Banking,banking,Commercial Banking,South Korea,Verified Real Company Database,100,True
Hana Financial Group,hana financial group,Banking,banking,Commercial Banking,South Korea,Verified Real Company Database,100,True
Amorepacific Corporation,amorepacific corporation,FMCG,fmcg,Cosmetics,South Korea,Verified Real Company Database,100,True
LG Household & Health Care,lg household health care,FMCG,fmcg,Consumer Goods,South Korea,Verified Real Company Database,100,True
Volkswagen AG,volkswagen ag,Automotive,automotive,Automobile Manufacturing,Germany,Verified Real Company Database,100,True
Daimler AG (Mercedes-Benz),daimler ag mercedes benz,Automotive,automotive,Automobile Manufacturing,Germany,Verified Real Company Database,100,True
BMW AG,bmw ag,Automotive,automotive,Automobile Manufacturing,Germany,Verified Real Company Database,100,True
Siemens AG,siemens ag,Technology,technology,Industrial Automation,Germany,Verified Real Company Database,100,True
SAP SE,sap se,Technology,technology,Enterprise Software,Germany,Verified Real Company Database,100,True
BASF SE,basf se,Chemicals,chemicals,Chemical Manufacturing,Germany,Verified Real Company Database,100,True
Allianz SE,allianz se,Financial Services,financial services,Insurance,Germany,Verified Real Company Database,100,True
Deutsche Bank AG,deutsche bank ag,Banking,banking,Investment Banking,Germany,Verified Real Company Database,100,True
Bayer AG,bayer ag,Healthcare,healthcare,Pharmaceuticals,Germany,Verified Real Company Database,100,True
Bosch GmbH,bosch gmbh,Automotive,automotive,Auto Parts,Germany,Verified Real Company Database,100,True
Continental AG,continental ag,Automotive,automotive,Auto Parts,Germany,Verified Real Company Database,100,True
Porsche AG,porsche ag,Automotive,automotive,Luxury Automobiles,Germany,Verified Real Company Database,100,True
Audi AG,audi ag,Automotive,automotive,Automobile Manufacturing,Germany,Verified Real Company Database,100,True
Henkel AG & Co.,henkel ag co,FMCG,fmcg,Consumer Goods,Germany,Verified Real Company Database,100,True
Adidas AG,adidas ag,Retail,retail,Sportswear,Germany,Verified Real Company Database,100,True
Deutsche Telekom AG,deutsche telekom ag,Telecommunications,telecommunications,Telecom Services,Germany,Verified Real Company Database,100,True
E.ON SE,eon se,Energy,energy,Utilities,Germany,Verified Real Company Database,100,True
RWE AG,rwe ag,Energy,energy,Utilities,Germany,Verified Real Company Database,100,True
Deutsche Post AG,deutsche post ag,Transportation,transportation,Logistics,Germany,Verified Real Company Database,100,True
Lufthansa AG,lufthansa ag,Aviation,aviation,Airlines,Germany,Verified Real Company Database,100,True
Commerzbank AG,commerzbank ag,Banking,banking,Commercial Banking,Germany,Verified Real Company Database,100,True
Munich Re,munich re,Financial Services,financial services,Reinsurance,Germany,Verified Real Company Database,100,True
Infineon Technologies AG,infineon technologies ag,Technology,technology,Semiconductors,Germany,Verified Real Company Database,100,True
Merck KGaA,merck kgaa,Healthcare,healthcare,Pharmaceuticals,Germany,Verified Real Company Database,100,True
Fresenius SE & Co.,fresenius se co,Healthcare,healthcare,Healthcare Services,Germany,Verified Real Company Database,100,True
Beiersdorf AG,beiersdorf ag,FMCG,fmcg,Personal Care,Germany,Verified Real Company Database,100,True
ThyssenKrupp AG,thyssenkrupp ag,Manufacturing,manufacturing,Steel & Engineering,Germany,Verified Real Company Database,100,True
Deutsche Börse AG,deutsche boerse ag,Financial Services,financial services,Stock Exchange,Germany,Verified Real Company Database,100,True
Linde plc,linde plc,Chemicals,chemicals,Industrial Gases,Germany,Verified Real Company Database,100,True
TotalEnergies SE,totalenergies se,Energy,energy,Oil & Gas,France,Verified Real Company Database,100,True
LVMH Moët Hennessy Louis Vuitton,lvmh moet hennessy louis vuitton,Retail,retail,Luxury Goods,France,Verified Real Company Database,100,True
L'Oréal SA,loreal sa,FMCG,fmcg,Cosmetics,France,Verified Real Company Database,100,True
Sanofi SA,sanofi sa,Healthcare,healthcare,Pharmaceuticals,France,Verified Real Company Database,100,True
BNP Paribas SA,bnp paribas sa,Banking,banking,Commercial Banking,France,Verified Real Company Database,100,True
AXA SA,axa sa,Financial Services,financial services,Insurance,France,Verified Real Company Database,100,True
Airbus SE,airbus se,Aerospace,aerospace,Aircraft Manufacturing,France,Verified Real Company Database,100,True
Hermès International,hermes international,Retail,retail,Luxury Goods,France,Verified Real Company Database,100,True
Kering SA,kering sa,Retail,retail,Luxury Goods,France,Verified Real Company Database,100,True
Schneider Electric SE,schneider electric se,Technology,technology,Industrial Automation,France,Verified Real Company Database,100,True
Société Générale SA,societe generale sa,Banking,banking,Commercial Banking,France,Verified Real Company Database,100,True
Crédit Agricole SA,credit agricole sa,Banking,banking,Commercial Banking,France,Verified Real Company Database,100,True
Danone SA,danone sa,FMCG,fmcg,Food Products,France,Verified Real Company Database,100,True
Air Liquide SA,air liquide sa,Chemicals,chemicals,Industrial Gases,France,Verified Real Company Database,100,True
Renault SA,renault sa,Automotive,automotive,Automobile Manufacturing,France,Verified Real Company Database,100,True
Peugeot SA (Stellantis),peugeot sa stellantis,Automotive,automotive,Automobile Manufacturing,France,Verified Real Company Database,100,True
Orange SA,orange sa,Telecommunications,telecommunications,Telecom Services,France,Verified Real Company Database,100,True
Carrefour SA,carrefour sa,Retail,retail,Supermarket Chain,France,Verified Real Company Database,100,True
Vinci SA,vinci sa,Infrastructure,infrastructure,Construction,France,Verified Real Company Database,100,True
Engie SA,engie sa,Energy,energy,Utilities,France,Verified Real Company Database,100,True
Saint-Gobain SA,saint gobain sa,Manufacturing,manufacturing,Building Materials,France,Verified Real Company Database,100,True
Safran SA,safran sa,Aerospace,aerospace,Aircraft Equipment,France,Verified Real Company Database,100,True
Michelin,michelin,Automotive,automotive,Tyre Manufacturing,France,Verified Real Company Database,100,True
Dassault Systèmes SE,dassault systemes se,Technology,technology,Software,France,Verified Real Company Database,100,True
Capgemini SE,capgemini se,IT Services,it services,IT Consulting,France,Verified Real Company Database,100,True
Publicis Groupe SA,publicis groupe sa,Media,media,Advertising,France,Verified Real Company Database,100,True
Veolia Environnement SA,veolia environnement sa,Utilities,utilities,Water & Waste Management,France,Verified Real Company Database,100,True
Christian Dior SE,christian dior se,Retail,retail,Luxury Goods,France,Verified Real Company Database,100,True
Eni SpA,eni spa,Energy,energy,Oil & Gas,Italy,Verified Real Company Database,100,True
Ferrari NV,ferrari nv,Automotive,automotive,Luxury Automobiles,Italy,Verified Real Company Database,100,True
Enel SpA,enel spa,Energy,energy,Utilities,Italy,Verified Real Company Database,100,True
Intesa Sanpaolo SpA,intesa sanpaolo spa,Banking,banking,Commercial Banking,Italy,Verified Real Company Database,100,True
UniCredit SpA,unicredit spa,Banking,banking,Commercial Banking,Italy,Verified Real Company Database,100,True
Generali Group,generali group,Financial Services,financial services,Insurance,Italy,Verified Real Company Database,100,True
FCA (Fiat Chrysler),fca fiat chrysler,Automotive,automotive,Automobile Manufacturing,Italy,Verified Real Company Database,100,True
Leonardo SpA,leonardo spa,Aerospace,aerospace,Defense,Italy,Verified Real Company Database,100,True
Telecom Italia SpA,telecom italia spa,Telecommunications,telecommunications,Telecom Services,Italy,Verified Real Company Database,100,True
Pirelli & C. SpA,pirelli c spa,Automotive,automotive,Tyre Manufacturing,Italy,Verified Real Company Database,100,True
Luxottica Group (EssilorLuxottica),luxottica group essilorluxottica,Retail,retail,Eyewear,Italy,Verified Real Company Database,100,True
Prada SpA,prada spa,Retail,retail,Luxury Fashion,Italy,Verified Real Company Database,100,True
Salvatore Ferragamo SpA,salvatore ferragamo spa,Retail,retail,Luxury Fashion,Italy,Verified Real Company Database,100,True
Moncler SpA,moncler spa,Retail,retail,Luxury Apparel,Italy,Verified Real Company Database,100,True
Campari Group,campari group,FMCG,fmcg,Alcoholic Beverages,Italy,Verified Real Company Database,100,True
Atlantia SpA,atlantia spa,Infrastructure,infrastructure,Toll Roads,Italy,Verified Real Company Database,100,True
Terna SpA,terna spa,Energy,energy,Power Transmission,Italy,Verified Real Company Database,100,True
Poste Italiane SpA,poste italiane spa,Financial Services,financial services,Postal Services,Italy,Verified Real Company Database,100,True
Banco Santander SA,banco santander sa,Banking,banking,Commercial Banking,Spain,Verified Real Company Database,100,True
Telefónica SA,telefonica sa,Telecommunications,telecommunications,Telecom Services,Spain,Verified Real Company Database,100,True
Inditex SA (Zara),inditex sa zara,Retail,retail,Fashion Retail,Spain,Verified Real Company Database,100,True
Iberdrola SA,iberdrola sa,Energy,energy,Utilities,Spain,Verified Real Company Database,100,True
BBVA (Banco Bilbao Vizcaya Argentaria),bbva banco bilbao vizcaya argentaria,Banking,banking,Commercial Banking,Spain,Verified Real Company Database,100,True
Repsol SA,repsol sa,Energy,energy,Oil & Gas,Spain,Verified Real Company Database,100,True
CaixaBank SA,caixabank sa,Banking,banking,Commercial Banking,Spain,Verified Real Company Database,100,True
ACS Group,acs group,Infrastructure,infrastructure,Construction,Spain,Verified Real Company Database,100,True
Naturgy Energy Group SA,naturgy energy group sa,Energy,energy,Utilities,Spain,Verified Real Company Database,100,True
Amadeus IT Group SA,amadeus it group sa,Technology,technology,Travel Technology,Spain,Verified Real Company Database,100,True
Ferrovial SA,ferrovial sa,Infrastructure,infrastructure,Construction,Spain,Verified Real Company Database,100,True
Endesa SA,endesa sa,Energy,energy,Utilities,Spain,Verified Real Company Database,100,True
Mapfre SA,mapfre sa,Financial Services,financial services,Insurance,Spain,Verified Real Company Database,100,True
IAG (International Airlines Group),iag international airlines group,Aviation,aviation,Airlines,Spain,Verified Real Company Database,100,True
Acerinox SA,acerinox sa,Manufacturing,manufacturing,Stainless Steel,Spain,Verified Real Company Database,100,True
Grifols SA,grifols sa,Healthcare,healthcare,Biopharmaceuticals,Spain,Verified Real Company Database,100,True
Viscofan SA,viscofan sa,Manufacturing,manufacturing,Food Casings,Spain,Verified Real Company Database,100,True
Nestlé SA,nestle sa,FMCG,fmcg,Food Products,Switzerland,Verified Real Company Database,100,True
Novartis AG,novartis ag,Healthcare,healthcare,Pharmaceuticals,Switzerland,Verified Real Company Database,100,True
Roche Holding AG,roche holding ag,Healthcare,healthcare,Pharmaceuticals,Switzerland,Verified Real Company Database,100,True
UBS Group AG,ubs group ag,Banking,banking,Investment Banking,Switzerland,Verified Real Company Database,100,True
Credit Suisse Group AG,credit suisse group ag,Banking,banking,Investment Banking,Switzerland,Verified Real Company Database,100,True
Zurich Insurance Group AG,zurich insurance group ag,Financial Services,financial services,Insurance,Switzerland,Verified Real Company Database,100,True
ABB Ltd,abb ltd,Technology,technology,Industrial Automation,Switzerland,Verified Real Company Database,100,True
Richemont SA,richemont sa,Retail,retail,Luxury Goods,Switzerland,Verified Real Company Database,100,True
Swatch Group AG,swatch group ag,Retail,retail,Watches,Switzerland,Verified Real Company Database,100,True
Holcim Ltd,holcim ltd,Cement,cement,Cement Production,Switzerland,Verified Real Company Database,100,True
Lonza Group AG,lonza group ag,Healthcare,healthcare,Life Sciences,Switzerland,Verified Real Company Database,100,True
Swiss Re AG,swiss re ag,Financial Services,financial services,Reinsurance,Switzerland,Verified Real Company Database,100,True
Givaudan SA,givaudan sa,Chemicals,chemicals,Flavors & Fragrances,Switzerland,Verified Real Company Database,100,True
Geberit AG,geberit ag,Manufacturing,manufacturing,Sanitary Products,Switzerland,Verified Real Company Database,100,True
Schindler Holding AG,schindler holding ag,Manufacturing,manufacturing,Elevators & Escalators,Switzerland,Verified Real Company Database,100,True
Sika AG,sika ag,Chemicals,chemicals,Construction Chemicals,Switzerland,Verified Real Company Database,100,True
Swisscom AG,swisscom ag,Telecommunications,telecommunications,Telecom Services,Switzerland,Verified Real Company Database,100,True
LafargeHolcim,lafargeholcim,Cement,cement,Cement Production,Switzerland,Verified Real Company Database,100,True
ASML Holding NV,asml holding nv,Technology,technology,Semiconductor Equipment,Netherlands,Verified Real Company Database,100,True
ING Group NV,ing group nv,Banking,banking,Commercial Banking,Netherlands,Verified Real Company Database,100,True
Philips NV,philips nv,Healthcare,healthcare,Medical Devices,Netherlands,Verified Real Company Database,100,True
Unilever NV,unilever nv,FMCG,fmcg,Consumer Goods,Netherlands,Verified Real Company Database,100,True
Heineken NV,heineken nv,FMCG,fmcg,Beverages,Netherlands,Verified Real Company Database,100,True
Ahold Delhaize NV,ahold delhaize nv,Retail,retail,Supermarket Chain,Netherlands,Verified Real Company Database,100,True
Akzo Nobel NV,akzo nobel nv,Chemicals,chemicals,Paints & Coatings,Netherlands,Verified Real Company Database,100,True
Aegon NV,aegon nv,Financial Services,financial services,Insurance,Netherlands,Verified Real Company Database,100,True
NN Group NV,nn group nv,Financial Services,financial services,Insurance,Netherlands,Verified Real Company Database,100,True
RELX NV,relx nv,Media,media,Publishing & Information,Netherlands,Verified Real Company Database,100,True
Wolters Kluwer NV,wolters kluwer nv,Media,media,Information Services,Netherlands,Verified Real Company Database,100,True
Randstad NV,randstad nv,Services,services,Staffing,Netherlands,Verified Real Company Database,100,True
ArcelorMittal,arcelormittal,Manufacturing,manufacturing,Steel Production,Netherlands,Verified Real Company Database,100,True
Prosus NV,prosus nv,Technology,technology,Internet Services,Netherlands,Verified Real Company Database,100,True
Adyen NV,adyen nv,Financial Services,financial services,Payment Processing,Netherlands,Verified Real Company Database,100,True
Volvo AB,volvo ab,Automotive,automotive,Commercial Vehicles,Sweden,Verified Real Company Database,100,True
Ericsson AB,ericsson ab,Technology,technology,Telecommunications Equipment,Sweden,Verified Real Company Database,100,True
H&M (Hennes & Mauritz AB),hm hennes mauritz ab,Retail,retail,Fashion Retail,Sweden,Verified Real Company Database,100,True
Spotify Technology SA,spotify technology sa,Technology,technology,Music Streaming,Sweden,Verified Real Company Database,100,True
Atlas Copco AB,atlas copco ab,Manufacturing,manufacturing,Industrial Equipment,Sweden,Verified Real Company Database,100,True
Sandvik AB,sandvik ab,Manufacturing,manufacturing,Industrial Tools,Sweden,Verified Real Company Database,100,True
SKF AB,skf ab,Manufacturing,manufacturing,Bearings,Sweden,Verified Real Company Database,100,True
Electrolux AB,electrolux ab,Consumer Durables,consumer durables,Home Appliances,Sweden,Verified Real Company Database,100,True
Nordea Bank Abp,nordea bank abp,Banking,banking,Commercial Banking,Sweden,Verified Real Company Database,100,True
Swedbank AB,swedbank ab,Banking,banking,Commercial Banking,Sweden,Verified Real Company Database,100,True
Skandinaviska Enskilda Banken AB (SEB),skandinaviska enskilda banken ab seb,Banking,banking,Commercial Banking,Sweden,Verified Real Company Database,100,True
Telia Company AB,telia company ab,Telecommunications,telecommunications,Telecom Services,Sweden,Verified Real Company Database,100,True
Alfa Laval AB,alfa laval ab,Manufacturing,manufacturing,Industrial Equipment,Sweden,Verified Real Company Database,100,True
Husqvarna AB,husqvarna ab,Manufacturing,manufacturing,Outdoor Power Products,Sweden,Verified Real Company Database,100,True
Scania AB,scania ab,Automotive,automotive,Trucks & Buses,Sweden,Verified Real Company Database,100,True
Novo Nordisk A/S,novo nordisk as,Healthcare,healthcare,Pharmaceuticals,Denmark,Verified Real Company Database,100,True
Maersk A/S,maersk as,Transportation,transportation,Shipping,Denmark,Verified Real Company Database,100,True
Carlsberg Group,carlsberg group,FMCG,fmcg,Beverages,Denmark,Verified Real Company Database,100,True
Vestas Wind Systems A/S,vestas wind systems as,Energy,energy,Wind Turbines,Denmark,Verified Real Company Database,100,True
Ørsted A/S,orsted as,Energy,energy,Renewable Energy,Denmark,Verified Real Company Database,100,True
DSV A/S,dsv as,Transportation,transportation,Logistics,Denmark,Verified Real Company Database,100,True
Pandora A/S,pandora as,Retail,retail,Jewelry,Denmark,Verified Real Company Database,100,True
Coloplast A/S,coloplast as,Healthcare,healthcare,Medical Devices,Denmark,Verified Real Company Database,100,True
Genmab A/S,genmab as,Healthcare,healthcare,Biotechnology,Denmark,Verified Real Company Database,100,True
Danske Bank A/S,danske bank as,Banking,banking,Commercial Banking,Denmark,Verified Real Company Database,100,True
Novozymes A/S,novozymes as,Chemicals,chemicals,Industrial Enzymes,Denmark,Verified Real Company Database,100,True
Chr. Hansen Holding A/S,chr hansen holding as,FMCG,fmcg,Food Ingredients,Denmark,Verified Real Company Database,100,True
William Demant Holding A/S,william demant holding as,Healthcare,healthcare,Hearing Aids,Denmark,Verified Real Company Database,100,True
Rockwool International A/S,rockwool international as,Manufacturing,manufacturing,Insulation,Denmark,Verified Real Company Database,100,True
Equinor ASA,equinor asa,Energy,energy,Oil & Gas,Norway,Verified Real Company Database,100,True
Telenor ASA,telenor asa,Telecommunications,telecommunications,Telecom Services,Norway,Verified Real Company Database,100,True
DNB ASA,dnb asa,Banking,banking,Commercial Banking,Norway,Verified Real Company Database,100,True
Norsk Hydro ASA,norsk hydro asa,Manufacturing,manufacturing,Aluminum,Norway,Verified Real Company Database,100,True
Yara International ASA,yara international asa,Chemicals,chemicals,Fertilizers,Norway,Verified Real Company Database,100,True
Orkla ASA,orkla asa,FMCG,fmcg,Consumer Goods,Norway,Verified Real Company Database,100,True
Aker BP ASA,aker bp asa,Energy,energy,Oil & Gas,Norway,Verified Real Company Database,100,True
Subsea 7 S.A.,subsea 7 sa,Energy,energy,Oil Services,Norway,Verified Real Company Database,100,True
Schibsted ASA,schibsted asa,Media,media,Publishing & Online Classifieds,Norway,Verified Real Company Database,100,True
Mowi ASA,mowi asa,FMCG,fmcg,Seafood,Norway,Verified Real Company Database,100,True
Nokia Corporation,nokia corporation,Technology,technology,Telecommunications Equipment,Finland,Verified Real Company Database,100,True
Kone Corporation,kone corporation,Manufacturing,manufacturing,Elevators & Escalators,Finland,Verified Real Company Database,100,True
Neste Corporation,neste corporation,Energy,energy,Renewable Fuels,Finland,Verified Real Company Database,100,True
UPM-Kymmene Corporation,upm kymmene corporation,Manufacturing,manufacturing,Paper & Pulp,Finland,Verified Real Company Database,100,True
Stora Enso Oyj,stora enso oyj,Manufacturing,manufacturing,Paper & Pulp,Finland,Verified Real Company Database,100,True
Fortum Corporation,fortum corporation,Energy,energy,Utilities,Finland,Verified Real Company Database,100,True
Wärtsilä Corporation,wartsila corporation,Manufacturing,manufacturing,Marine & Energy Equipment,Finland,Verified Real Company Database,100,True
Sampo Group,sampo group,Financial Services,financial services,Insurance,Finland,Verified Real Company Database,100,True
Kesko Corporation,kesko corporation,Retail,retail,Retail Chain,Finland,Verified Real Company Database,100,True
Anheuser-Busch InBev SA/NV,anheuser busch inbev sanv,FMCG,fmcg,Beverages,Belgium,Verified Real Company Database,100,True
KBC Group NV,kbc group nv,Banking,banking,Commercial Banking,Belgium,Verified Real Company Database,100,True
Ageas SA/NV,ageas sanv,Financial Services,financial services,Insurance,Belgium,Verified Real Company Database,100,True
Solvay SA,solvay sa,Chemicals,chemicals,Chemical Manufacturing,Belgium,Verified Real Company Database,100,True
UCB SA,ucb sa,Healthcare,healthcare,Biopharmaceuticals,Belgium,Verified Real Company Database,100,True
Proximus Group,proximus group,Telecommunications,telecommunications,Telecom Services,Belgium,Verified Real Company Database,100,True
Umicore SA,umicore sa,Manufacturing,manufacturing,Materials Technology,Belgium,Verified Real Company Database,100,True
Telenet Group Holding NV,telenet group holding nv,Telecommunications,telecommunications,Cable & Internet,Belgium,Verified Real Company Database,100,True
Colruyt Group NV,colruyt group nv,Retail,retail,Supermarket Chain,Belgium,Verified Real Company Database,100,True
Sofina SA,sofina sa,Financial Services,financial services,Investment Holding,Belgium,Verified Real Company Database,100,True
Toyota Motor Corporation,toyota motor corporation,Automotive,automotive,Automobile Manufacturing,Japan,Verified Real Company Database,100,True
Sony Corporation,sony corporation,Technology,technology,Consumer Electronics,Japan,Verified Real Company Database,100,True
Honda Motor Co. Ltd.,honda motor co ltd,Automotive,automotive,Automobile Manufacturing,Japan,Verified Real Company Database,100,True
Panasonic Corporation,panasonic corporation,Technology,technology,Consumer Electronics,Japan,Verified Real Company Database,100,True
Nissan Motor Co. Ltd.,nissan motor co ltd,Automotive,automotive,Automobile Manufacturing,Japan,Verified Real Company Database,100,True
SoftBank Group Corp.,softbank group corp,Technology,technology,Telecommunications,Japan,Verified Real Company Database,100,True
Mitsubishi Corporation,mitsubishi corporation,Conglomerate,conglomerate,Diversified,Japan,Verified Real Company Database,100,True
Mitsui & Co. Ltd.,mitsui co ltd,Conglomerate,conglomerate,Trading,Japan,Verified Real Company Database,100,True
Hitachi Ltd.,hitachi ltd,Technology,technology,Industrial Equipment,Japan,Verified Real Company Database,100,True
Toshiba Corporation,toshiba corporation,Technology,technology,Industrial Equipment,Japan,Verified Real Company Database,100,True
Canon Inc.,canon inc,Technology,technology,Imaging Products,Japan,Verified Real Company Database,100,True
Nikon Corporation,nikon corporation,Technology,technology,Imaging Products,Japan,Verified Real Company Database,100,True
Fujifilm Holdings Corporation,fujifilm holdings corporation,Technology,technology,Imaging & Healthcare,Japan,Verified Real Company Database,100,True
Sharp Corporation,sharp corporation,Technology,technology,Consumer Electronics,Japan,Verified Real Company Database,100,True
Ricoh Company Ltd.,ricoh company ltd,Technology,technology,Office Equipment,Japan,Verified Real Company Database,100,True
Mitsubishi Electric Corporation,mitsubishi electric corporation,Technology,technology,Electrical Equipment,Japan,Verified Real Company Database,100,True
NEC Corporation,nec corporation,Technology,technology,IT Services,Japan,Verified Real Company Database,100,True
Fujitsu Limited,fujitsu limited,Technology,technology,IT Services,Japan,Verified Real Company Database,100,True
NTT Data Corporation,ntt data corporation,IT Services,it services,IT Services,Japan,Verified Real Company Database,100,True
Rakuten Inc.,rakuten inc,E-commerce,ecommerce,Online Retail,Japan,Verified Real Company Database,100,True
Nomura Holdings Inc.,nomura holdings inc,Banking,banking,Investment Banking,Japan,Verified Real Company Database,100,True
Mitsubishi UFJ Financial Group,mitsubishi ufj financial group,Banking,banking,Commercial Banking,Japan,Verified Real Company Database,100,True
Sumitomo Mitsui Financial Group,sumitomo mitsui financial group,Banking,banking,Commercial Banking,Japan,Verified Real Company Database,100,True
Mizuho Financial Group,mizuho financial group,Banking,banking,Commercial Banking,Japan,Verified Real Company Database,100,True
Japan Post Bank Co. Ltd.,japan post bank co ltd,Banking,banking,Commercial Banking,Japan,Verified Real Company Database,100,True
Dai-ichi Life Holdings Inc.,daiichi life holdings inc,Financial Services,financial services,Insurance,Japan,Verified Real Company Database,100,True
Tokio Marine Holdings Inc.,tokio marine holdings inc,Financial Services,financial services,Insurance,Japan,Verified Real Company Database,100,True
MS&AD Insurance Group Holdings,msad insurance group holdings,Financial Services,financial services,Insurance,Japan,Verified Real Company Database,100,True
Seven & i Holdings Co. Ltd.,seven i holdings co ltd,Retail,retail,Convenience Stores,Japan,Verified Real Company Database,100,True
Fast Retailing Co. Ltd. (Uniqlo),fast retailing co ltd uniqlo,Retail,retail,Fashion Retail,Japan,Verified Real Company Database,100,True
